title,date_published,news_outlet,authors,text,url
What is Hamas and why is it fighting with Israel in Gaza?,2023-12-07,BBC,,"Hamas gunmen launched an unprecedented assault on Israel from the Gaza Strip on 7 October, killing 1,200 people and taking about 240 hostages.
The Israeli military responded with air strikes on Gaza, and launched a ground offensive. More than 16,200 people have been killed in Gaza, according to the Hamas-run government.
Fighting has resumed after a seven-day temporary truce, during which Hamas released more than 100 hostages in exchange for 240 Palestinians who were held in Israeli jails.
Israel Defense Forces (IDF) warplanes have been carrying out strikes across Gaza while its troops move through the territory.
Prime Minister Benjamin Netanyahu said Israel has a ""clear goal of destroying Hamas's military and governing capabilities"", as well as freeing the hostages.
He also declared that Israel would have ""overall security responsibility"" for the Gaza Strip ""for an indefinite period"" after the conflict. Israel later said it has no plans to reoccupy the territory.
Israel has drafted 300,000 reservists for the operation, to boost its standing force of 160,000.
The IDF says it has struck thousands of targets belonging to Hamas - which Israel, the UK, US and other Western powers class as a terrorist organisation.
It also says it has destroyed hundreds of tunnel shafts built underneath Gaza. Hamas has claimed that its tunnel network stretches for 500km (310 miles).
A number of hospitals in the north were caught up in intense fighting.
Since the temporary ceasefire ended, Israeli troops have pushed into southern Gaza, and have taken ""aggressive"" action against Hamas and other armed groups in and around the city of Khan Younis.
There has also been sustained fighting around the Jabalia refugee camp and Shejaiya in the north, where hundreds of thousands of civilians remain.
Israel claims to have killed thousands of Hamas fighters during the war, including many commanders.
The IDF says 411 of its soldiers have been killed since 7 October, the vast majority in the attacks that day by Hamas.
During the 7 October attacks, Hamas tookabout 240 hostages- who, it said, were hidden in ""safe places and tunnels"" within Gaza.
Israel said more than 30 of the hostages were children, and that at least 10 were aged over 60. It also said about half of the hostages had foreign passports from 25 different countries.
Under a deal brokered by Qatar, a pause in the fighting began on 24 November.
During the seven-day truce, which ended on 1 December, 105 hostages were freed, in return for 240 Palestinians who had been held in Israeli jails.
The hostages included:
Hamas released four Israeli hostages before the truce agreement was made, and another wasfreed by Israeli forces.
Israel says 138 people are still in captivity, but ""there is no possibility right now of bringing everyone home,"" according to Mr Netanyahu.
Hamas has said other armed groups in Gaza are holding hostages, including Palestinian Islamic Jihad, which could complicate any future releases.
UN secretary general Antonio Guterres has urged the UN Security Council to push for an immediate ceasefire in Gaza, warning that the humanitarian system may collapse, and public order could completely break down.
More than 16,200 people have been killed and more than 36,000 have been injured since the start of the war, according to the Hamas-run government. It says three quarters of the wounded are children and women.
Mr Netanyahu has admitted that Israel has been""not successful""in minimising civilian casualties, but insisted this is because Hamas uses Gaza's population as human shields.
Few of Gaza's hospitals are still operational due to damage caused by attacks and the lack of electricity and fuel.
Some 800,000 residents in northern Gaza are without any access to health services, according to the Hamas-run health ministry.
Without fuel, water pumps and desalination plants, waste and sanitation services, and bakeries have been unable to function.
Unrwa, the UN agency for Palestinian refugees, said that 1.9 million Gaza's residents - about 85% of the population - have been displaced and that1.1 million of them have been sheltering in its facilities.
This includes the hundreds of thousands of people who fled the fighting in the north after an Israeli ultimatum to move south of a river known as Wadi Gaza for their own safety.
Unrwa saidthe 600,000 people in southern Gazawho have been ordered to leave their neighbourhoodshave nowhere to go, as shelters are already beyond capacity.
Israel's military published an online map with Gaza split into more than 600 blocks, showing areas where people should evacuate for their own safety.
But the BBC's international editor Jeremy Bowen said the map is complicated, contains conflicting information, and requires a smartphone for access.
Unicef, the UN charity for children, warned that some of the ""safe"" zones are ""tiny patches of barren land"" with no water, sanitation or shelter.
After the 7 October attack, Israel shut its border crossings with Gaza, preventing the usual supplies of food, water, fuel and medicine from entering the territory.
The heads of major UN agencies saidcutting off essential supplies to 2.2 million Palestinians was an ""outrage"", and UN secretary general António Guterres repeatedly called for a sustained ceasefire on humanitarian grounds.
Israel obstructed all fuel deliveries until late November, arguing it could be stolen by Hamas and used for military purposes.
Almost 1,400 lorry loads of humanitarian supplies entered Gaza via Egypt's Rafah border crossing between 21 October and 21 November, compared with a monthly average of 10,000 before the war.
During the seven-day pause in fighting, hundreds of lorries carrying aid and fuel crossed at Rafah, which is the only functioning passage in and out of Gaza. But it has been very difficult to get goods into the north.
The UN's World Food Programme (WFP) said it managed to help about 250,000 people during the truce, but the resumption of fighting had made the distribution of aid ""almost impossible"".
According to Unrwa, humanitarian assistance has been ""reduced virtually to nothing"", raising fears of widespread hunger and disease amongst the population.
Hundreds of foreign passport holders - including some British and US citizens - and seriously wounded and sick Palestinians have also been allowed to leave, but many remain. The Rafah crossing remains tightly controlled by Egypt.
On 7 October, hundreds of Hamas gunmen crossed from the Gaza Strip into southern Israel, breaking through the heavily guarded perimeter fence, landing by sea, and using paragliders.
It wasthe most serious cross-border attack against Israel in more than a generation.
The gunmen killed about 1,200 people, most of them civilians, in a series of raids on military posts, kibbutzim and a music festival, and took hostages back into Gaza.
The BBC has also seen and heardevidence of rape, sexual violence and mutilation of women during the Hamas attacks, Victims included children, teenagers and pensioners.
The attack came at a time of soaring Israeli-Palestinian tensions: 2023 has been the deadliest on record for Palestinians who live in the Israeli-occupied West Bank.
Hamas is a Palestinian group which has run Gaza since 2007.
The name is an acronym for Harakat al-Muqawama al-Islamiya, which means Islamic Resistance Movement.
The group wants to destroy Israel and replace it with an Islamic state.
Its military wing, the Izzedine al-Qassam Brigades, is thought to have about 30,000 members.
Hamas has fought several wars with Israel since it took power, firing thousands of rockets into Israel and carrying out other deadly attacks.
In response, Israel has repeatedly attacked Hamas with air strikes, sending in troops in 2008 and 2014.
Hamas - or in some cases the al-Qassam Brigades - has been designated a terrorist group by Israel, the US, the EU and the UK, as well as other powers.
Iran backs the group, providing funding, weapons and training.
The Gaza Strip is a 41km (25-mile) long and 10km-wide territory located between Israel, Egypt and the Mediterranean Sea.
Previously occupied by Egypt, Gaza was captured by Israelduring the 1967 Six-Day War.
Israel withdrew its troops and around 7,000 settlers from the territory in 2005.
Home to2.2 million people, the narrow strip is one of the most densely-populated areas in the world.
Just over three-quarters of Gaza's population - some 1.7 million people - are registered refugees or descendants of refugees, according to the UN.
Before the latest conflict, more than 500,000 people lived in eight refugee camps located across the Strip.
Israel controls the air space over Gaza and its shoreline, and strictly limits the movement of people and goods.
The West Bank and Gaza are known as the Palestinian territories. Along with East Jerusalem and Israel, they formed part of a land known as Palestine from Roman times until the mid-20th Century.
In 1948, part of Palestine became Israel, which was recognised by the United Nations the following year. The West Bank (including East Jerusalem) and Gaza are recognised as Palestine by many countries and bodies, although it does not have member status at the UN.
Those who do not recognise Israel's right to exist also still refer to all of the land as Palestine.
The Palestinian president isMahmoud Abbas, also known as Abu Mazen. He is based in the West Bank, which is under Israeli occupation.
He has been the leader of the Palestinian Authority (PA) since 2005, and represents the Fatah political party - a bitter rival of Hamas.
",https://www.bbc.com/news/world-middle-east-67039975
Gaza: Children screamed in street as we fled 2am air strike,,BBC,By Rushdi Abu Alouf,"Gaza's only power plant has run out of fuel, and medical and food supplies are dwindling, after another night which saw hundreds scramble onto the streets to flee relentless air strikes.
At 02:00 on Wednesday, a neighbour banged on my door and told me to leave now as my flat was being targeted.
Air strikes from Israeli warplanes have continued into their fifth day.
The situation for 2.3 million people in Gaza is increasingly desperate, with no way of leaving the tiny territory.
The only power station in Gaza stopped operating completely on Wednesday at 14:00 local time (11:00 GMT), authorities say.
Israel cut essential supplies, including fuel, to the sealed-off territory on Monday following a violent incursion by Hamas militants.
The lack of mains power means residents of Gaza have to rely on generators for electricity. But there is no way to import fuel for generators either.
There is now little hope of leaving the territory, after Israeli crossings were shut and Egypt was forced to close its only crossing point with Gaza due to nearby air strikes.
I tried to get my family out, because it is unclear what might happen here in the future - but that was impossible.
In the early hours of Tuesday morning, I woke up my three children, we grabbed our emergency kit and headed to the hospital.
But when we got there, hundreds of people were blocking the entrance - they too were looking for a place to shelter overnight.
Half-asleep children screamed as they stumbled through the streets with rockets flying overhead.
On Wednesday morning, Hamas said 30 people were killed in overnight strikes. In total, more than 1,000 Gazans have died in the retaliatory air strikes.
Israel's military said they had hit 450 targets in the Gaza strip in the past 24 hours.
The air strikes began after Hamas militants crossed into Israel and launched a wave of attacks on communities across the south of the country, killing at least 1,200 Israelis. An estimated 150 people have been taken hostage by Hamas.
Israel declared a ""complete siege"" on Gaza on Monday, declaring electricity, food, fuel and water would be cut off. The impacts of that siege can now be seen.
On Tuesday, I met a woman in a supermarket scouring the shelves looking for milk for her baby. She only had half a bottle left, but the supermarket was bare.
About 80% of people in Gaza relied on humanitarian aid even before the latest war began - and the UN agency for Palestinian refugees said atleast a million people had not been able to get their food rations since Saturday.
The World Health Organisation has called for a humanitarian corridor to be opened into the territory. But here, civilians don't hold out hope that will happen.
A leading British-Palestinian doctor, Dr Ghassan Abu-Sittah, told the BBC the health system in Gaza would collapse within a week unless aid was allowed.
""All of the beds are full. Patients who need surgery are unable to go into surgery because the operating rooms are operating at maximum capacity,"" he said, adding that this was the bloodiest assault he had seen since he started working in Gaza over 40 years ago.
""Because people are being injured in their homes, around 30-40% of the injuries are children. Whole families are being brought in wounded... In war you try to discharge cases early so you can free up beds, but these patients are all coming from houses that have been destroyed and so you cannot send them back to the street,"" he said.
Hamas's leader said he would not negotiate prisoner swaps for food and medicine, and he would not negotiate with Israel while the territory was under fire.
The UN human rights chief has said sieges are illegal under international law. UN agencies have also condemned the mass killings by Hamas and called on them to release the hostages they have taken.
And while Israel insists it is not targeting the civilian population in Gaza, the people here feel a decision to cut water, food, medical and electrical supplies to 2.3 million people is a collective punishment.
People in Gaza know what war looks like, but this one feels different.
Are you personally affected by the issues raised in this story? If it is safe to do so, please get in touch by emailinghaveyoursay@bbc.co.uk.
Please include a contact number if you are willing to speak to a BBC journalist. You can also get in touch in the following ways:
If you are reading this page and can't see the form you will need to visit the mobile version of theBBC websiteto submit your question or comment or you can email us atHaveYourSay@bbc.co.uk. Please include your name, age and location with any submission.
",https://www.bbc.com/news/world-middle-east-67077224
My daughter’s final moments as Hamas invaded her home,2023-10-10,BBC,,"When Hamas attacked Israel early on Saturday morning, Ilan Troen received a call from his daughter Deborah Matias, an American citizen living in Israel. Fighters were circling her home where she was hiding with her husband Shlomi Matias and their 16-year-old son Rotem.
Not long after, Rotem messaged that his parents had been shot and killed and he lay injured and hidden. Ilan and family messaged him in the hours that followed until he was rescued by Israeli military.
Ilan tells the BBC his daughter and her husband ""created a life of light and vibrancy"".
Copyright 2023 BBC. All rights reserved.TheBBCisnot responsible for the content of external sites.Read about our approach to external linking.
Beta TermsBy using the Beta Site, you agree that such use is at your own risk and you know that the Beta Site may include known or unknown bugs or errors, that we have no obligation to make this Beta Site available with or without charge for any period of time, nor to make it available at all, and that nothing in these Beta Terms or your use of the Beta Site creates any employment relationship between you and us. The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.
In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail.
",https://www.bbc.com/news/world-us-canada-67074046
Israel's military says it fully controls communities on Gaza border,,BBC,By David Gritten,"Israel's military says troops are in full control of all communities along the border with Gaza, two days after Hamas's unprecedented assault.
Fighting between troops and Palestinian militants in several areas on Monday morning had become ""isolated"", a spokesman told reporters. But he warned that militants might still be at large.
At least 700 people in Israel are reported to have been killed.
Another 560 people have been killed in Gaza in retaliatory Israeli strikes.
A Hamas spokesman claimed that four Israelis taken hostage during Saturday's attack were among those killed in the latest strikes, but there was no independent confirmation.
Israel's defence minister meanwhile ordered a ""complete siege"" of Gaza.
The two million Palestinians in the Hamas-ruled territory are also bracing themselves for a possible ground operation, with Israeli forces massing nearby.
At the start of Monday, the Israel Defense Forces (IDF) said there were seven or eight areas in southern Israel where troops were still fighting gunmen.
The included Be'eri, a kibbutz that was infiltrated by about 70 militants overnight, possibly using a cross-border tunnel, it added.
A tunnel exit was also reportedly found near Kfar Aza, another kibbutz where a family was being held hostage.
But a few hours later, the IDF's chief spokesman, Rear Adm Daniel Hagari, declared that security forces had regained control of border communities and killed a number of militants.
""We are now carrying out searches in all of the communities and clearing the area,"" he said, adding that ""it is possible there are still terrorists"".
Adm Hagari said the IDF planned to secure breaches in the Gaza perimeter fence with tanks and aircraft and that it had mobilised a record 300,000 reservists.
He also said that about 4,400 rockets had been fired from Gaza towards Israel since Saturday morning, when hundreds of Hamas militants used them as cover to infiltrate Israel.
Not long after the briefing, rocket sirens sounded in Tel Aviv and Jerusalem as fresh barrages were launched. Several people were reportedly injured in the southern cities of Ashkelon and Ashdod.
For Israelis collectively traumatised by the assault from Gaza, the scale of the number of casualties continues to shock.
Israel's health ministry has not confirmed how many people have been killed, but Israeli TV channels report that the death toll exceeds 700. Almost 2,400 people have been wounded.
The BBC has learnt that ""more than 10"" British citizens are feared dead or missing in Israel, according to an official UK source.
A volunteer group called Zaka, which helps to recover human remains, said more than 250 bodies had been taken from the scene of an all-night rave party and that more were still to be recovered.
The IDF is also focused on rescuing the dozens of Israeli soldiers and civilians, including women and children, being held as hostages by Hamas in Gaza.
""The hostages and their possible locations are being taken into account as we decide what our next step is. Israel is a state that holds human life sacred and we will do everything in our power to ensure that they're coming back home safe,"" spokeswoman Masha Michelson told the BBC.
Israeli Prime Minister Benjamin Netanyahu asked mayors of border towns to ""stand steadfast because we are going to change the Middle East"".
""What Hamas will experience will be difficult and terrible,"" he said. ""We are already in the campaign and we are just getting started.""
Israeli warplanes, helicopters and artillery struck more than 500 targets in Gaza overnight that the IDF said belonged to Hamas and the smaller militant group Palestinian Islamic Jihad.
They included eight command centres, several multi-storey buildings, including the home of senior Hamas official Ruhi Mashtaa, and three ""terror tunnels"", it added.
At least 560 Palestinians have been killed in Gaza and 2,900 injured since Israel began its retaliatory strikes, according to the Palestinian health ministry.
On Monday, health officials said at least 15 people were killed in an attack in the densely populated Jabalia refugee camp, north of Gaza City.
Hamas spokesman Abdul Latif claimed that Israel was ""still in a state of shock, losing its mind, and committing crimes against humanity by targeting and killing dozens of innocent civilians"".
The United Nations said more than 123,000 people had been displaced in Gaza, mostly because of fear or the destruction of their homes. The majority are seeking shelter in schools.
Israeli Defence Minister Yoav Gallant, meanwhile, said he had ""ordered a full siege on the Gaza Strip. No power, no food, no gas, everything is closed.""
""We are fighting human animals and we act accordingly,"" he declared.
Israel's infrastructure minister later said the water supply would also be cut.
Palestinian officials warned that Gaza would run out of fuel, food and medicine within 24 to 72 hours. Its power station and water and sewerage systems would have to shut down without fuel.
Gaza has been under a tight Israeli-Egyptian blockade since the Hamas takeover 16 years ago. The two countries say it is for security reasons.
Tensions are also running high in the occupied West Bank and East Jerusalem, where Palestinian health officials say 16 Palestinians have been killed in clashes with Israeli forces since Saturday.
Also on Monday, the IDF said its soldiers had killed a number of armed suspects who had crossed the frontier from Lebanon into Israeli territory.
Palestinian Islamic Jihad claimed it was behind the attack and that seven Israeli soldiers were injured.
It comes a day after Lebanon's Hezbollah movement fired rockets at Israeli positions in the disputed Shebaa Farms/Mount Dov area and Israeli forces responded with artillery fire and a drone strike.
",https://www.bbc.com/news/world-middle-east-67050127
Israel-Gaza war: Hamas hostage's family not expecting release,,BBC,,"The family of Irish-Israeli girl Emily Hand do not expect her to be among the first group of Israeli hostages to be released by Hamas.
Emily Hand’s Dublin-born father Tom was initially informed that his daughter was among a group of people killed in an attack on a kibbutz on 7 October.
Israel began attacking Gaza after Hamas fighters crossed the border on 7 October, killing 1,200 Israelis and taking more than 200 hostages.
",https://www.bbc.com/news/articles/c4n4pjvqnp8o
Israel Gaza: How missiles and destruction quickly returned after ceasefire,,BBC,,"A temporary pause in fighting between Israel and Hamas has ended, resulting in missile strikes and destruction once again.
The two sides have blamed each other for the returning violence. Israel said that Hamas violated the ceasefire by failing to release women and children who are being held hostage in Gaza. Hamas said that Israel was responsible as it prevented fuel supplies from reaching the north of Gaza.
The BBC's Anna Foster reports from southern Israel, near the border with Gaza, and the BBC's Middle East correspondent Hugo Bachega reports from Jerusalem.
Copyright 2023 BBC. All rights reserved.TheBBCisnot responsible for the content of external sites.Read about our approach to external linking.
Beta TermsBy using the Beta Site, you agree that such use is at your own risk and you know that the Beta Site may include known or unknown bugs or errors, that we have no obligation to make this Beta Site available with or without charge for any period of time, nor to make it available at all, and that nothing in these Beta Terms or your use of the Beta Site creates any employment relationship between you and us. The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.
In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail.
",https://www.bbc.com/news/world-middle-east-67591768
Israel-Gaza: Palestinian family left homeless after strikes,,BBC,By Tom Bateman,"Kamal Nabhan was screaming as he thrust the phone into his cousin's hands, unable to believe what the anonymous caller was telling him.
The men had just got ready to go to afternoon prayers in Jabalia refugee camp. But the routine patterns of life were about to give way to violent destruction, wrought from above with a warning call.
Kamal's cousin Ataf reached out to his relative.
""I took the phone from him and talked to the person on the line,"" says Ataf. ""He said he was from Israeli intelligence, and you have five minutes to evacuate the house.""
They began to rush back, telling the Israeli caller he must be mistaken because the building ""was full"" of disabled people. ""[The intelligence officer] said: 'No, immediately evacuate the house,'"" says Ataf.
It was day five of the fiercest Israeli air strikes on Gaza in nine months. The campaign of so-called targeted assassinations killed at least six leading figures in Islamic Jihad, the Palestinian territory's second most powerful militant organisation.
But the attacks also killed 10 civilians on the first night alone - including wives and children of some of the men targeted as they slept. The group retaliated with waves of rocket attacks on Israeli cities, forcing tens of thousands to take cover in bomb shelters.
Israel said it was acting after repeated rounds of rocket fire by Islamic Jihad, which in turn said it had fired because of police raids against Palestinians at al-Aqsa mosque in occupied east Jerusalem, and the recent death in Israeli jail of hunger striker Khader Adnan.
Last week's fighting killed 33 Palestinians in Gaza and two people in Israel - an Israeli and a Palestinian. It left more than 1,200 Palestinians displaced, according to the UN.
At the Nabhan family's building, Israel delivered on its warning. A single missile blew the block apart.
Just before a ceasefire deal was agreed late on Saturday, Israel destroyed several other residential blocks in similar circumstances - giving warnings to evacuate residents before bombing the buildings. These strikes that bring down whole apartment blocks are a well-worn tactic in its attacks on Gaza.
Israel says the buildings it hit were used as ""command and control centres"" by Islamic Jihad to direct rocket launches. It said its warning calls were meant to prevent harm to uninvolved civilians.
Local sources believe a militant lived in the building but not that it was an operational centre. Human rights groups condemn such attacks destroying entire residential blocks as a violation of international law. Another resident who received a warning call was filmed pleading with Israeli forces to limit any attack ""to the apartment of the guilty"".
The building in Jabalia has collapsed into its own foundations. An entire staircase that provided the escape route for several families lies horizontally, jutting into a smashed wall section. The remains of the roof are a few metres above the earth, providing the only shade for the former residents. Neighbours managed to get everyone out - nearly 50 people from eight families.
There were five people in the building with disabilities including muscular dystrophy, say support groups. Some had wheelchairs, specially modified beds and medicines destroyed in the air strike, they add.
Jamal al-Rozzi, executive director of the Gaza-based Society for Rehabilitation, who came to help the families, says his group will provide aid including food and medical devices.
""I feel angry and I feel pain because this should not happen, at least not for the civilians, especially not disabled people,"" he says.
Also sheltering among the rubble is another of Kamal Nabhan's relatives. Rahma Nabhan and her husband Yasser are sitting under a fractured roof slab, passing their baby daughter Jori to each other to soothe her cries.
""My sisters-in-law are disabled - they were not able even to cover their heads [when they were rescued], their wheelchairs were buried under the house,"" says Rahma.
""Everyone saw the disabled people fleeing. They were asking: 'Why did the house have to be destroyed? Have these disabled people fired rockets?' We have nothing to do with what's going on,"" she says.
Rahma walks me around the remnants, still clutching Jori as we navigate the rubble.
Her flat was on the top floor. Now there are only cardboard signs the residents have hoisted over the concrete remains, showing the names of each former inhabitant.
""We are not going anywhere, we will stay in the sun, sleep in the sun, we are not leaving the house,"" says Rahma.
""We call on the international organisations and [Palestinian President Mahmoud Abbas] to stand with us and rebuild this house because we have no place to go,"" she says.
The ceasefire reached on Saturday night, mediated by Egypt, has largely held. But tensions remain extremely high, after months of spiralling violence in the occupied West Bank which has spilt over into Gaza on three major occasions since an all-out war between Israel and Hamas in May 2021.
Last week's attacks have left Israeli Prime Minister Benjamin Netanyahu politically emboldened. They could easily have ignited a far bigger confrontation - in fact they still could despite the truce. But he has used the fighting to burnish his reputation for security in the face of unprecedented domestic unrest and growing pressure from religious-ultranationalist extremists in his coalition.
Despite its losses, Islamic Jihad has used the escalation to promote its appeal as the current face of armed resistance against Israel while Hamas - the dominant militant group in Gaza - stayed on the sidelines in terms of military action.
It publicly backed the rocket fire as part of a ""unified"" position by Palestinian factions but effectively restrained itself, thereby limiting the round of fighting. It also has to keep services running for Gaza's population under a crippling Israeli-Egyptian blockade. A larger war could swing popular opinion further against it.
Since 2021, the Israeli government has given permits to thousands of workers to cross into Israel, boosting Gaza's economy and bolstering tax revenues for Hamas. However, the group has warned against annual plans for an ultranationalist Israeli flag march through Muslim areas of occupied east Jerusalem on Thursday, keeping tensions boiling.
Both Hamas and Islamic Jihad are listed by Israel and the West as terrorist organisations.
However, many Palestinians here feel abandoned by an international community that still talks about a political future for the region - a two-state solution - which is outright rejected by both Israel's nationalist government and the Palestinian armed groups.
At the Nabhans' house, neighbours and other Gaza-based charities arrive for a gathering in solidarity with the residents. It comes on the same day Palestinians mark the 75th anniversary of the Nakba, when 700,000 people fled or were forced from their homes in the conflicts surrounding Israel's creation.
The homeless residents hold up signs saying ""Protect us"" and ""We call for help"".
Ataf Nabhan, who took the warning call from the Israeli intelligence officer, gestures to the rubble and tells me his plea is simple.
""This family needs a shelter,"" he says. ""We just ask the human rights organisations - take care of this family.""
",https://www.bbc.com/news/world-middle-east-65608282
London mayor meets multi-faith leaders as hate crimes rise,2023-10-20,BBC,By Yasmin Rufo,"The mayor of London has held a roundtable meeting with Jewish and Muslim faith leaders following a rise in hate crimes in the capital.
Mr Khan hosted the Community Security Trust (CST) and Tell MAMA to discuss measures to keep Londoners safe.
It comes after Met Police figures showed ahuge increase in both antisemitic and Islamophobic attacksduring October.
The mayor said it was ""important to come together to stop hate crimes"".
He added that police would ""take a zero tolerance approach"".
Speaking to the BBC after the event, Iman Atta, director of Tell MAMA, an organisation that supports victims of anti-Muslim attacks, said Palestinian Muslim families had ""reported graffiti on their door stating killer, terrorist and murder, and Nazi symbols"".
She added that other Muslim women have ""had death threats on the London Underground where a woman gestured to them that she will cut their heads"".
Jonny Newton, director of communications at CST, a group that helps to protect the Jewish community, said they were all ""feeling very vulnerable at this time"".
He said the attacks had ""dredged up inter-generational trauma and pain"".
According to Scotland Yard there were 218 antisemitic incidents across London between 1 and 18 October, up from 15 during the same period last year.
The number of Islamophobic incidents also rose to 101, from 42 in the same time period.
So far, 21 people have been arrested and officers have been working through 1,400 reports of potentially illegal content online.
Jewish organisation Campaign Against Antisemitism has questioned the Met's handling of protests in the capital.
It said the force had stopped the group from displaying images of Israeli children kidnapped by Hamas on van billboard screens in Parliament Square on Wednesday due to a pro-Palestinian vigil taking place nearby.
The organisation also accused police of ""physically restraining"" its chief executive Gideon Falter.
The Met said it had ""no wish to limit freedom of expression"", but had a ""responsibility for public safety"" and therefore ""officers were keen to avoid the billboard vans becoming a point of tension or conflict"".
""There will be occasions where we try to avoid groups with strongly opposing views coming into immediate contact with each other,"" it added.
""We took similar actions on Saturday where we prevented pro-Palestinian demonstrators from reaching the area around the Israeli Embassy given their doing so would likely have led to an escalation in tension and a possible risk to public safety.""
Meanwhile, three Labour councillors in London have resigned over the party leadership's stance on what is happening in the Middle East.
On Wednesday Kensington councillor Mona Ahmed and Hounslow councillor Lara Parizotto resigned.
Ms Ahmed said she ""condemned the killing of innocent civilians"" and ""expected the same"" from her party.
On Thursday, another councillor, Lotte Collett, who represents a ward in Haringey, resigned having said it was ""shocking"" that Sir Keir Starmer and his leadership team were not calling for a ceasefire between Israel and Hamas and accused it of failing to ""condemn Israeli aggression as mounting breaches of international law are occurring"".
In an interview onLBC radiolast week, Sir Keir was asked whether cutting off water and power supplies into Gaza would be appropriate as part of an Israeli response, to which he replied: ""I think that Israel does have that right, it is an ongoing situation.
""Obviously, everything should be done within international law, but I don't want to step away from the core principles that Israel has a right to defend herself.""
Pro-Palestinian demonstrations took place outside the party's HQ on Friday morning, with people chanting ""Labour Party shame on you"" and ""no more money for Israel's crimes"".
Listen to the best of BBC Radio London onSoundsand follow BBC London onFacebook,XandInstagram. Send your story ideas tohello.bbclondon@bbc.co.uk
",https://www.bbc.com/news/uk-england-london-67168462
France's Macron urges Israel to stop killing Gaza's women and children,,BBC,,"France's President Macron, in an exclusive interview with the BBC, has urged Israel to stop killing women and babies in Gaza, reiterating his call for a ceasefire in the war.
He said there was no reason for vulnerable people to be bombed and killed, and that Israel's actions had no ""legitimacy"".
He called on the US and the UK to support a ceasefire.
But he also stressed that France ""clearly condemns"" what he called the ""terrorist"" actions of Hamas.
He was speaking to the BBC's Europe editor Katya Adler.
Copyright 2023 BBC. All rights reserved.TheBBCisnot responsible for the content of external sites.Read about our approach to external linking.
Beta TermsBy using the Beta Site, you agree that such use is at your own risk and you know that the Beta Site may include known or unknown bugs or errors, that we have no obligation to make this Beta Site available with or without charge for any period of time, nor to make it available at all, and that nothing in these Beta Terms or your use of the Beta Site creates any employment relationship between you and us. The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.
In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail.
",https://www.bbc.com/news/world-67387685
Family of slain Muslim boy: 'We're not in war',2023-10-16,BBC,,"Officials say six-year-old Wadea Al-Fayoume was fatally stabbed in Illinois by the family's landlord, who allegedly attacked the boy and his mum because of the ongoing Israel-Hamas conflict and because they were Muslims.
The boy's uncle, Yousef Hannoun, spoke at the funeral of his nephew and pleaded for children to be saved.
Copyright 2023 BBC. All rights reserved.TheBBCisnot responsible for the content of external sites.Read about our approach to external linking.
Beta TermsBy using the Beta Site, you agree that such use is at your own risk and you know that the Beta Site may include known or unknown bugs or errors, that we have no obligation to make this Beta Site available with or without charge for any period of time, nor to make it available at all, and that nothing in these Beta Terms or your use of the Beta Site creates any employment relationship between you and us. The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.
In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail.
",https://www.bbc.com/news/world-us-canada-67096273
