title,date_published,news_outlet,authors,text
Why These Progressives Stopped Helping Biden,2023-12-06,TheAtlantic,['Russell Berman'],"Updated at 10:54 a.m. ET on December 6, 2023Throughout the summer, the Progressive Change Institute, a prominent grassroots organization aligned with Democrats, teamed up with the White House to promote President Joe Biden’s domestic agenda. The group helped organize events across the country, including in battleground states such as Pennsylvania and Michigan, to publicize one of the president’s most popular proposals: a crackdown on unnecessary or hidden consumer charges popularly known as “junk fees.”The institute was encouraged by how much positive local-media coverage the events generated, taking it as a sign that a concerted campaign could lift the president’s lackluster approval ratings ahead of his reelection bid. Its leaders were eying a second round of activity this fall to amplify Biden’s record on lowering prescription-drug and child-care costs.Since October 7, however, those plans are on hold. Many progressives are protesting the administration’s support for Israel’s military offensive in Gaza, which began after Hamas’s massacre of more than 1,200 Israelis and has left more than 16,000 dead, according to Gaza’s Hamas-controlled health ministry. On perhaps no other issue is the gap between Democratic leaders and young progressives wider than on the Israel-Palestine conflict. “It’s just a reality that the Middle East crisis is a superseding priority for many activists and takes oxygen out of the room on other issues the White House needs to break through on,” Adam Green, a co-founder of the Progressive Change Institute, told me. “We’ve let that be known.”"
An Awkward Evolutionary Theory for One of Pregnancy’s Biggest Complications,2023-10-16,TheAtlantic,['Katherine J. Wu'],"In the early 1990s, while studying preeclampsia in Guadeloupe, Pierre-Yves Robillard hit upon a realization that seemed to shake the foundations of his field. Preeclampsia, a pregnancy complication that causessome 500,000 fetal deaths and 70,000 maternal deathsaround the world each year, had for decades been regarded as a condition most common among new mothers, whose bodies were mounting an inappropriate attack on a first baby. But Robillard, now a neonatologist and epidemiologist at Centre Hospitalier Universitaire de La Réunion, on Réunion Island in the Indian Ocean,kept seeing the condition crop upduring second, third, or fourth pregnancies—a pattern that a few other studies had documented, but had yet to fully explain. Then, Robillard noticed something else. “These women had changed the father,” he told me. The catalyst in these cases of preeclampsia, he eventually surmised, wasn’t the newness ofpregnancy. It was the newness of paternal genetic material that, maybe, the mother hadn’t had enough exposure to before.Robillard’s idea was unconventional not only because it challenged the dogma of the time, but because it implied certain evolutionary consequences. Preeclampsia appears to be exclusive (oralmost exclusive) to humans, and may have arisen as a by-product of the particularly aggressive ways in which our fetuses pillage their mother’s body for resources. So, Robillard and his colleagues posited, maybe the dangers it poses then pressured humans into developing a bizarre trait: being rather inefficient at conceiving offspring. Maybe, if humans aren’t terribly fertile, they need to have a lot of sex; maybe having a lot of sex repeatedly exposes a mother to her partner’s semen, inuring her to the molecular makeup of future offspring. If preeclampsia is a kind ofimmune overreaction, then perhaps unprotected sex is the world’s most unconventional allergy shot."
The Fourth Season of 'Transparent' Is a Beautiful Statement on Boundaries,2017-09-22,TheAtlantic,['Spencer Kornhaber'],"Transparentis the rare TV show held up as a symbol of the Obama era to return in 2017 withoutpilingonreferencesto Donald Trump. But the fourth season of the soulful Amazon dramedy about a Los Angeles family whose onetime patriarch transitions genders at age 68 could, if you wanted, be read as one long subtweet of wall builders. It’s a 10-episode riff on the concept of borders, with a riskier and more explicit political theme than most other shows would dare.That hot-button theme? Drumroll ... the Israel-Palestine conflict. Yes, really. Maura Pfefferman, having returned to academia, is invited to lecture at an Israeli conference on gender and Judaism. One of her adult children tags along—followed, after a shocking Holy Land revelation, by the rest of the Pfeffermans. Ali, the youngest and wokest of Maura’s three kids, connects with an activist named Lyfe who shows her around Ramallah. Her growing distress about the plight of Palestinians complicates what would otherwise be an intergenerational Birthright trip.The borders motif plays out in smaller ways, too. The family’s gorgeous home in the Pacific Palisades is being Airbnb’d to an odd German family who’s hostile to any Pfeffermans living in the basement unit. The lonely but overbearing Shelly moves in with Josh, collapsing the mother-son buffer zone. Sarah and Len consider letting another lover into their de facto marriage. Alia Shawkat’s groovy preschool teacher, a new addition, observes that deception often takes the place of boundaries in relationships: “You compartmentalize. ... It’s human.” Jason Mantzoukas, playing a reformed pothead, says, “Boundaries are how people tell other people what they need.” In every case, you see the value of borders maintained conscientiously—but often, peace comes from opening up.Three years after its initial wave of acclaim,Transparentis as beautiful television as ever, making great use of the hard-won familiarity between its audience and its characters. Previous seasons reveled in the self-involved Pfeffermans torturing themselves, but the show now eases off the pain and lets its characters just live, somewhat contentedly, for a bit. Deep thinking about sex as a source of both trauma and healing obviously informed the scripts, too. An early scene, for example, has Ali being interviewed by college administrators looking into harassment allegations against her former lover and boss. “Nothing wasdoneto me here, do you understand?” she says. A Pfefferman is, for once, not triggered.Well—scratch that. The investigation, as well as a riotously mean poem by its target published inThe New Yorker, does kick Ali into a bit of spiral. But her angst isn’t overdone, communicated in grace notes during the small-scale and emotionally generous first few episodes. Amid the grating yet comforting din of a family dinner in the premiere, Ali, Sarah, and Josh escape to the rooftop to get high but instead just banter in the cruel-but-loving way that only brothers and sisters can. ABuzzFeedquiz they take sends the trio to a sex-addiction group therapy session—and like so much ofTransparent, the expedition is outwardly comedic but inwardly serious, spiritual."
The Day Israeli-Palestinian Peace Seemed Within Reach,2018-09-13,TheAtlantic,['Martin Indyk'],"In the annals of the Arab-Israeli conflict, it was a historic turning point. At least that’s the way it seemed at the time. On this day, 25 years ago, the Oslo Accords—a framework for an interim agreement between Israelis and Palestinians—were signed on the South Lawn of the White House. President Bill Clinton, the host of the ceremony, was unable to sleep the night before. He told his peace team, of which I was a member, that he had read from his Bible instead, from the book of Joshua with its detailing of the battle of Jericho. The next morning, Clinton donned a blue silk tie with a pattern of gold trumpets. For him, the trumpets symbolized the clarion call that precipitated the walls of Jericho crumbling, just like he hoped the walls of Israeli-Palestinian conflict would come tumbling down as a result of the agreement between the modern-day equivalents of the Hebrews and Canaanites.The hundreds of dignitaries on the South Lawn on that sun-drenched fall morning were there to witness the historic handshake between PLO leader Yasir Arafat and Israeli Prime Minister Yitzhak Rabin. As Clinton’s Middle East adviser on the National Security Council, I had organized the signing ceremony. Still, few of us knew what was in the Accords. They had been negotiated behind the backs of Clinton and his peace team. Mahmoud Abbas, then Arafat’s deputy, claimed that even the Palestinian leader hadn’t read them. But like Clinton, those who bore witness cared less about the details than the symbolism. The handshake was meant to signify the moment when Israeli and Palestinian leaders decided to begin the process of ending their bloody conflict and resolving their differences at the negotiating table."
The Latest Victims of the Free-Speech Crisis,2023-11-28,TheAtlantic,['Greg Lukianoff'],"Since the start of the Israel-Hamas war, the issue of free speech on college campuses has received a new wave of scrutiny. Palestinian student groups have faced threats ofcensorshipfor their statements, donors have warned aboutpulling funding, and employers haveblacklistedstudents who blamed Israel for Hamas’s attack.But as far as free speech is concerned, 2023 has been a relatively normal year for colleges and universities. Just don’t confuse “normal” with “good.”So far this year, my organization, the Foundation for Individual Rights and Expression (FIRE), has received 1,312 submissions about possible free-speech violations. Compare that with 1,394 in 2022, 1,445 in 2021, and 1,526 in 2020. For 2023’s numbers to top those, the next five weeks would have to be unprecedented.That’s not to say nothing has changed. There has been a troubling uptick inthreats,vandalism, andassaultdirected at Jewish students in recent weeks. And efforts to shut down pro-Palestinian speech have intensified—including Floridaorderingits state schools to ban Students for Justice in Palestine groups and Brandeis Universityactually doing it. (FIRE opposedbothmoves.)"
Is Biden Toast?,2023-11-13,TheAtlantic,['Russell Berman'],"It’s a year before the presidential election, and Democrats are panicking. Their incumbent is unpopular, and voters are refusing to give him credit for overseeing an economic rebound. Polls show him losing to a Republican challenger.What’s true now was also true 12 years ago. Today, Democrats are alarmed by recentsurveysfinding that President Joe Biden trails Donald Trump in five key swing states. But they were just as scared in the fall of 2011, when President Barack Obama’s approval ratinglanguished in the low 40sand a pair of national polls showed him losing to Mitt Romney, the former Massachusetts governor who would become the GOP nominee. Barely one-third of independent voterssaidObama deserved a second term. ANew York Times Magazinecover storyaskedthe question on many Democrats’ minds: “Is Obama Toast?”A year later, Obama beat Romney handily, by a margin of 126 in the Electoral College and 5 million in the popular vote. Those results are comforting to Democrats who want to believe that Biden is no worse off than Obama was at this point in his presidency. “This is exactly where we were with Obama,” Jim Messina, the former president’s 2012 campaign manager, told me by phone this week. For good measure, he looked up data from earlier elections and found that George W. Bush and Bill Clinton each trailed in the polls a year out from their reelection victories. Perhaps, Messina hoped, that would “calm my bed-wetting fucking Democratic friends down.”"
Readers on the Foreign-Policy Issues That Matter to Them,2023-11-22,TheAtlantic,['Conor Friedersdorf'],"Welcome to Up for Debate. Each week, Conor Friedersdorf rounds up timely conversations and solicits reader responses to one thought-provoking question. Later, he publishes some thoughtful replies.Sign up for the newsletter here.Last week I noted that presidential candidates in the 2024 election will discuss U.S. foreign policy toward China, Russia, Ukraine, Israel, Iran, Mexico, and beyond, andasked, “What foreign-policy matters are most important to you and why?”Replies have been edited for length and clarity.Caroline focuses on the movement of people:"
What I Told Congress Today About Anti-Semitism,2023-06-22,TheAtlantic,[],
Giving Birth in Gaza,2023-12-02,TheAtlantic,['Claire Porter Robbins'],"Every morning since October 7, Nour Shath has woken up, scanned her body, and felt relief that her twin babies were still inside her. Each additional day, her doctor has told her, makes their birth less likely to require an obstetric or neonatal intervention that might not be available in Gaza.But even after those morning checks reassure her that she’s one day closer to a normal, safe delivery, Shath told me, she feels a deep, wrenching fear—one she worries she’ll transmit to her babies: “Are they feeling scared inside me?” she asks herself. She wonders whether they can sense when she cries, and whether the stress will induce premature labor.“I am a working counselor, I know how to deal with negative thoughts,” she told me by text during one of Gaza’s brief interludes of data coverage. “But I try everything without anything helping. I am under stress most of the time.”“I told my husband I don’t feel safe giving birth in Gaza,” she told me."
"Photos of the Week: Dangling Hay, Annular Eclipse, Scythe Competition",,TheAtlantic,['Alan Taylor'],
